filename,gender
911Mothers_2010W,F
AalaElKhani_2016X,F
AaronHuey_2010X,M
AaronKoblin_2011,M
AaronOConnell_2011,M
AbeDavis_2015,M
AbhaDawesar_2013G,F
AbigailMarsh_2016T,F
AbigailWashburn_2012U,F
AbrahamVerghese_2011G,M
AchenyoIdachaba_2015W,F
AdamDavidson_2012S,M
AdamdelaZerda_2016X,M
AdamDriver_2015P,M
AdamFoss_2016,M
AdamGalinsky_2016X,M
AdamGarone_2011X,M
AdamGrant_2016,M
AdamGrant_2016S,M
AdamGrosser_2007,M
AdamOckelford_2013X,M
AdamOstrow_2011G,M
AdamSadowsky_2010X,M
AdamSavage_2008P,M
AdamSavage_2016,M
AdamSpencer_2013,M
AditiGupta_2015X,F
AditiShankardass_2009I,F
AdoraSvitak_2010,F
AfraRaymond_2012X,M
AimeeMullins_1998,F
AimeeMullins_2009U,F
AjitNarayanan_2013,M
AJJacobs_2007P,M
AJJacobs_2011P,M
AJJacobs_2014A,M
AlaaMurabit_2015W,F
AlaindeBotton_2009G,M
AlaindeBotton_2011G,M
AlanEustace_2015,M
AlanKay_2007,M
AlannaShaikh_2012G,F
AlanRussell_2006,M
AlanSiegel_2010,M
AlanSmith_2016X,M
AlastairParvin_2013,M
AlbertoCairo_2011X,M
AlecSoth_2015,M
AlejandroAlvarado_2016X,M
AlejandroAravena_2014G,M
AlessandraOrofino_2014G,F
AlessandroAcquisti_2013G,F
AlexaMeade_2013G,F
AlexanderBetts_2016,M
AlexanderBetts_2016T,M
AlexanderTsiaras_2010P,M
AlexisOhanian_2009I,M
AlexKipman_2016,M
AlexLaskey_2013,M
AlexSteffen_2005G,M
AlexSteffen_2011G,M
AlexTabarrok_2009,M
AlexWissnerGross_2013X,M
AlGore_2006,M
AlGore_2008,M
AlGore_2016,M
AliCarrChellman_2010X,F
AliceBowsLarkin_2015G,F
AliceDreger_2011X,F
AliceGoffman_2015,F
AliceRawsthorn_2016,F
AliciaGarzaandPatrisseCullorsandOpalTometi_2016W,F
AlisaMiller_2008,F
AlisonGopnik_2011G,F
AlisonJackson_2005G,F
AlisonKilling_2014U,F
AlisonKilling_2014X,F
AlixGenerous_2015W,F
AllanAdams_2014,M
AllanAdams_2016,M
AllanJones_2011G,M
AllanSavory_2013,M
AllisonHunt_2007,F
AlSeckel_2004,M
AlVernacchio_2012,M
AlwarBalasubramaniam_2009I,M
AlysonMcGregor_2014X,F
AlyssaMonks_2015X,F
AmandaBennett_2013P,F
AmandaBurden_2014,F
AmandaPalmer_2013,F
AmberCase_2010W,F
AmeenahGuribFakim_2014G,F
AmeeraHarouda_2016,F
AmiKlin_2011X,M
AmitSood_2011,M
AmitSood_2016,M
AmoryLovins_2005,M
AmoryLovins_2012S,M
AmosWinter_2012X,M
AmyAdeleHasinoff_2016X,F
AmyCuddy_2012G,F
AmyGreen_2017S,F
AmyLockwood_2011G,F
AmyPurdy_2011X,F
AmySmith_2006,F
AmyTan_2008,F
AmyWebb_2013S,F
AnandAgarawala_2007,M
AnandaShankar_2009I,F
AnandGiridharadas_2015,M
AnandGiridharadas_2016T,M
AnandVarma_2015,M
AnantAgarwal_2013G,M
AnasAremeyawAnas_2013,M
AnastasiaTaylorLind_2014U,F
AndersFjellberg_2015G,M
AndersYnnerman_2010X,M
AndrasForgacs_2013G,M
AndreaGhez_2009G,F
AndreasEkstrom_2015X,M
AndreasRaptopoulos_2013G,M
AndreasSchleicher_2012G,M
AndresLozano_2013X,M
AndresRuzo_2014G,M
AndrewBastawrous_2014U,M
AndrewBird_2010,M
AndrewBlum_2012G,M
AndrewConnolly_2014,M
AndrewFitzgerald_2013S,M
AndrewMcAfee_2012X,M
AndrewMcAfee_2013,M
AndrewMwenda_2007G,M
AndrewPelling_2016U,M
AndrewSolomon_2013P,M
AndrewSolomon_2013X,M
AndrewSolomon_2014,M
AndrewYoun_2016,M
AndyHobsbawm_2008,M
AndyPuddicombe_2012S,M
AndyYen_2014G,M
AngelaBelcher_2011X,F
AngelaDuckworth_2013S,F
AngelaPatton_2012X,F
AngelicaDass_2016,F
AngeloVermeulen_2014U,M
AnilAnanthaswamy_2010P,M
AnilGupta_2009I,M
AniLiu_2016X,F
AnjaliTripathi_2015X,F
AnnaDeavereSmith_2005,F
AnnaMracekDietrich_2011G,F
AnnCooper_2007P,F
AnneCurzan_2014X,F
AnneLamott_2017,F
AnneMarieSlaughter_2013G,F
AnneMilgram_2013S,F
AnnetteHeuser_2013G,F
AnnieLennox_2010G,F
AnnieMurphyPaul_2011G,F
AnnMarieThomas_2011,F
AnnMorgan_2015G,F
AnoteTong_2015Z,M
AnthonyAtala_2009P,M
AnthonyAtala_2011,M
AnthonyDRomero_2017,M
AnthonyGoldbloom_2016U,M
AntonioDamasio_2011,M
AntonioGuterres_2015G,M
AntonyGormley_2012G,M
AnupamMishra_2009I,M
AomawaShields_2015U,F
AparnaRao_2011G,F
AparnaRao_2013U,F
ApolloRobbins_2013G,M
AriannaHuffington_2010W,F
ArielGarten_2011X,F
ArisVenetikidis_2012X,M
AriWallach_2016X,M
ArthurBenjamin_2005,M
ArthurBenjamin_2009,M
ArthurBenjamin_2013G,M
ArthurBrooks_2016,M
ArthurGanson_2004,M
ArthurPottsDawson_2010G,M
ArunachalamMuruganantham_2012S,M
ArvindGupta_2010P,M
AshadeVos_2014U,F
AshBeckham_2013X,F
AshBeckham_2014X,F
AsherHasan_2009I,M
AshleyJudd_2016W,F
AshrafGhani_2005G,M
AshtonCofer_2016Y,M
AspenBaker_2015W,F
AstroTeller_2016,M
AtulGawande_2012,M
AubreydeGrey_2005G,M
AudreyChoi_2015S,F
AukeIjspeert_2015G,M
